Texto,Polaridad,Subjetividad,Sentimiento,sentimiento_es,rating
"This phone is amazing, the battery lasts all day and the camera is fantastic.",0.5,0.9,Positive,positivo,4
"Customer service was terrible, they took forever to respond.",-1.0,1.0,Negative,negativo,1
The restaurant has good food but the service is quite slow.,0.19999999999999996,0.5,Positive,positivo,3
I have class at nine in the morning.,0.0,0.0,Neutral,neutro,3
"The movie was spectacular, one of the best I have seen this year.",0.8,0.6,Positive,positivo,5
"I do not recommend this product, it broke after two days.",0.0,0.0,Neutral,neutro,3
The hotel was clean and well located although the rooms were small.,0.05833333333333335,0.55,Neutral,neutro,3
The package arrived yesterday afternoon without any problems.,0.0,0.0,Neutral,neutro,3
"I am very satisfied with the purchase, it exceeded my expectations.",0.65,1.0,Positive,positivo,4
The app works but sometimes it crashes and becomes frustrating.,-0.4,0.9,Negative,negativo,2
"The concert was incredible, the energy of the crowd was amazing.",0.75,0.9,Positive,positivo,4
The food was cold and the waiter seemed uninterested.,-0.6,1.0,Negative,negativo,2
The exam was difficult but it could have been worse.,-0.45,0.8,Negative,negativo,2
The city has many interesting places to visit.,0.5,0.5,Positive,positivo,4
"I love this restaurant, I always leave very happy.",0.75,0.8,Positive,positivo,4
The experience was not bad but not particularly good.,-2.7755575615628914e-17,0.6333333333333333,Neutral,neutro,3
The computer runs fast and the screen quality is excellent.,0.6,0.8,Positive,positivo,4
I am quite disappointed with the service quality.,-0.75,0.75,Negative,negativo,2
The book is interesting although some parts are heavy.,0.15,0.5,Positive,positivo,3
The meeting ended at five in the afternoon.,0.0,0.0,Neutral,neutro,3
